Date,Leírás,Terhelés,Jóváírás,Al-kategória,Kategória,Kategória Típus,Hónap Száma,Hét napja,Összeg
2/9/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Tue,-5.0
2/10/21,Fuel,78.0,,Üzemanyag,Közlekedés,Kiadás,2,Wed,-78.0
2/10/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Wed,-5.0
2/11/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Thu,-5.0
2/12/21,Green's,135.9,,Konyhai alap,Háztartás,Kiadás,2,Fri,-135.9
2/12/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Fri,-5.0
2/13/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Sat,-5.0
2/13/21,Cinemas,40.9,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,2,Sat,-40.9
2/13/21,Fashionistas,99.0,,Ruházat,Egyéb / Diszkrét,Kiadás,2,Sat,-99.0
2/13/21,Burger,53.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,2,Sat,-53.0
2/14/21,Uba,28.9,,Taxi,Közlekedés,Kiadás,2,Sun,-28.9
2/15/21,Onlne earning,,800.0,Egyéb Bevétel,Jövedelem,Bevétel,2,Mon,800.0
2/15/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Mon,-5.0
2/16/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Tue,-5.0
2/16/21,Phone,40.0,,Szolgáltatások / Rezsi,Háztartás,Kiadás,2,Tue,-40.0
2/17/21,Sallah give away,45.9,,Ajándékok,Egyéb / Diszkrét,Kiadás,2,Wed,-45.9
2/17/21,Online streaming,35.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,2,Wed,-35.0
2/17/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Wed,-5.0
2/18/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Thu,-5.0
2/19/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Fri,-5.0
2/19/21,Green's,171.0,,Konyhai alap,Háztartás,Kiadás,2,Fri,-171.0
2/20/21,Suya,37.9,,Gyorsétel / Étterem,Élelmiszer,Kiadás,2,Sat,-37.9
2/21/21,Oha soup/White soup,12.9,,Gyorsétel / Étterem,Élelmiszer,Kiadás,2,Sun,-12.9
2/22/21,Orphanage,55.0,,Adomány,Egyéb / Diszkrét,Kiadás,2,Mon,-55.0
2/22/21,Fuel,64.1,,Üzemanyag,Közlekedés,Kiadás,2,Mon,-64.1
2/22/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Mon,-5.0
2/23/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Tue,-5.0
2/24/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Wed,-5.0
2/25/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Thu,-5.0
2/26/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,2,Fri,-5.0
2/26/21,Green's,162.9,,Konyhai alap,Háztartás,Kiadás,2,Fri,-162.9
2/27/21,Trainers,125.9,,Ruházat,Egyéb / Diszkrét,Kiadás,2,Sat,-125.9
2/27/21,Global Fashion,137.0,,Ruházat,Egyéb / Diszkrét,Kiadás,2,Sat,-137.0
2/28/21,Fashionistas,146.1,,Ruházat,Egyéb / Diszkrét,Kiadás,2,Sun,-146.1
2/28/21,Uba,24.1,,Taxi,Közlekedés,Kiadás,2,Sun,-24.1
3/1/21,Data With Decision,,5000.0,Fizetés,Jövedelem,Bevétel,3,Mon,5000.0
3/1/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Mon,-5.0
3/2/21,Estate Mangement,900.0,,Lakásfenntartás,Háztartás,Kiadás,3,Tue,-900.0
3/2/21,Financail upgrade,150.0,,Egyéb Közlekedés,Közlekedés,Kiadás,3,Tue,-150.0
3/2/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Tue,-5.0
3/3/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Wed,-5.0
3/4/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Thu,-5.0
3/5/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Fri,-5.0
3/5/21,Green's,149.0,,Konyhai alap,Háztartás,Kiadás,3,Fri,-149.0
3/8/21,Power source,52.1,,Rezsi,Háztartás,Kiadás,3,Mon,-52.1
3/8/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Mon,-5.0
3/9/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Tue,-5.0
3/10/21,Fuel,78.9,,Üzemanyag,Közlekedés,Kiadás,3,Wed,-78.9
3/10/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Wed,-5.0
3/11/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Thu,-5.0
3/12/21,Green's,137.0,,Konyhai alap,Háztartás,Kiadás,3,Fri,-137.0
3/12/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Fri,-5.0
3/13/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Sat,-5.0
3/13/21,Cinemas,41.8,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,3,Sat,-41.8
3/13/21,Fashionistas,99.9,,Ruházat,Egyéb / Diszkrét,Kiadás,3,Sat,-99.9
3/13/21,Burger,54.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,3,Sat,-54.0
3/14/21,Uba,30.0,,Taxi,Közlekedés,Kiadás,3,Sun,-30.0
3/15/21,Onlne earning,,1000.0,Egyéb Bevétel,Jövedelem,Bevétel,3,Mon,1000.0
3/15/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Mon,-5.0
3/16/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Tue,-5.0
3/16/21,Taken medication,75.0,,Orvosi szolgáltatás,Egészség,Kiadás,3,Tue,-75.0
3/16/21,Phone,40.0,,Szolgáltatások / Rezsi,Háztartás,Kiadás,3,Tue,-40.0
3/17/21,Sallah give away,46.8,,Ajándékok,Egyéb / Diszkrét,Kiadás,3,Wed,-46.8
3/17/21,Online streaming,35.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,3,Wed,-35.0
3/17/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Wed,-5.0
3/18/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Thu,-5.0
3/19/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Fri,-5.0
3/19/21,Green's,171.9,,Konyhai alap,Háztartás,Kiadás,3,Fri,-171.9
3/20/21,Suya,39.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,3,Sat,-39.0
3/21/21,Oha soup/White soup,14.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,3,Sun,-14.0
3/22/21,Orphanage,55.0,,Adomány,Egyéb / Diszkrét,Kiadás,3,Mon,-55.0
3/22/21,Fuel,65.0,,Üzemanyag,Közlekedés,Kiadás,3,Mon,-65.0
3/22/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Mon,-5.0
3/23/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Tue,-5.0
3/24/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Wed,-5.0
3/25/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Thu,-5.0
3/26/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Fri,-5.0
3/26/21,Green's,209.0,,Konyhai alap,Háztartás,Kiadás,3,Fri,-209.0
3/27/21,Trainers,127.0,,Ruházat,Egyéb / Diszkrét,Kiadás,3,Sat,-127.0
3/27/21,Sport ware,177.2,,Ruházat,Egyéb / Diszkrét,Kiadás,3,Sat,-177.2
3/28/21,Fashionistas,147.1,,Ruházat,Egyéb / Diszkrét,Kiadás,3,Sun,-147.1
3/28/21,Uba,25.0,,Taxi,Közlekedés,Kiadás,3,Sun,-25.0
3/29/21,Foodary,15.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,3,Mon,-15.0
3/30/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Tue,-5.0
3/31/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,3,Wed,-5.0
4/1/21,Data With Decision,,5000.0,Fizetés,Jövedelem,Bevétel,4,Thu,5000.0
4/1/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Thu,-5.0
4/2/21,Estate Mangement,900.0,,Lakásfenntartás,Háztartás,Kiadás,4,Fri,-900.0
4/2/21,Financail upgrade,150.0,,Egyéb Közlekedés,Közlekedés,Kiadás,4,Fri,-150.0
4/2/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Fri,-5.0
4/3/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Sat,-5.0
4/4/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Sun,-5.0
4/5/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Mon,-5.0
4/5/21,Green's,158.2,,Konyhai alap,Háztartás,Kiadás,4,Mon,-158.2
4/8/21,Power source,53.2,,Rezsi,Háztartás,Kiadás,4,Thu,-53.2
4/8/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Thu,-5.0
4/9/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Fri,-5.0
4/10/21,Fuel,79.9,,Üzemanyag,Közlekedés,Kiadás,4,Sat,-79.9
4/10/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Sat,-5.0
4/11/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Sun,-5.0
4/12/21,Green's,98.0,,Konyhai alap,Háztartás,Kiadás,4,Mon,-98.0
4/12/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Mon,-5.0
4/13/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Tue,-5.0
4/13/21,Cinemas,42.8,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,4,Tue,-42.8
4/13/21,Fashionistas,100.9,,Ruházat,Egyéb / Diszkrét,Kiadás,4,Tue,-100.9
4/13/21,Burger,54.9,,Gyorsétel / Étterem,Élelmiszer,Kiadás,4,Tue,-54.9
4/14/21,Uba,31.0,,Taxi,Közlekedés,Kiadás,4,Wed,-31.0
4/15/21,Onlne earning,,2340.0,Egyéb Bevétel,Jövedelem,Bevétel,4,Thu,2340.0
4/15/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Thu,-5.0
4/16/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Fri,-5.0
4/16/21,Phone,40.0,,Szolgáltatások / Rezsi,Háztartás,Kiadás,4,Fri,-40.0
4/17/21,Sallah give away,47.9,,Ajándékok,Egyéb / Diszkrét,Kiadás,4,Sat,-47.9
4/17/21,Online streaming,35.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,4,Sat,-35.0
4/17/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Sat,-5.0
4/18/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Sun,-5.0
4/19/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Mon,-5.0
4/19/21,Green's,173.0,,Konyhai alap,Háztartás,Kiadás,4,Mon,-173.0
4/20/21,Suya,40.1,,Gyorsétel / Étterem,Élelmiszer,Kiadás,4,Tue,-40.1
4/21/21,Oha soup/White soup,15.1,,Gyorsétel / Étterem,Élelmiszer,Kiadás,4,Wed,-15.1
4/22/21,Orphanage,55.0,,Adomány,Egyéb / Diszkrét,Kiadás,4,Thu,-55.0
4/22/21,Fuel,66.0,,Üzemanyag,Közlekedés,Kiadás,4,Thu,-66.0
4/22/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Thu,-5.0
4/23/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Fri,-5.0
4/24/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Sat,-5.0
4/25/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Sun,-5.0
4/26/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Mon,-5.0
4/26/21,Green's,164.9,,Konyhai alap,Háztartás,Kiadás,4,Mon,-164.9
4/27/21,Trainers,127.9,,Ruházat,Egyéb / Diszkrét,Kiadás,4,Tue,-127.9
4/27/21,Clubing,300.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,4,Tue,-300.0
4/28/21,Fashionistas,148.1,,Ruházat,Egyéb / Diszkrét,Kiadás,4,Wed,-148.1
4/28/21,Uba,26.1,,Taxi,Közlekedés,Kiadás,4,Wed,-26.1
4/29/21,Foodary,15.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,4,Thu,-15.0
4/29/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Thu,-5.0
4/30/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,4,Fri,-5.0
5/2/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Sun,-5.0
5/3/21,Data With Decision,,5000.0,Fizetés,Jövedelem,Bevétel,5,Mon,5000.0
5/3/21,Estate Mangement,900.0,,Lakásfenntartás,Háztartás,Kiadás,5,Mon,-900.0
5/3/21,Financail upgrade,150.0,,Egyéb Közlekedés,Közlekedés,Kiadás,5,Mon,-150.0
5/3/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Mon,-5.0
5/4/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Tue,-5.0
5/5/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Wed,-5.0
5/6/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Thu,-5.0
5/6/21,Green's,170.0,,Konyhai alap,Háztartás,Kiadás,5,Thu,-170.0
5/9/21,Power source,54.1,,Rezsi,Háztartás,Kiadás,5,Sun,-54.1
5/9/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Sun,-5.0
5/10/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Mon,-5.0
5/11/21,Fuel,81.0,,Üzemanyag,Közlekedés,Kiadás,5,Tue,-81.0
5/11/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Tue,-5.0
5/12/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Wed,-5.0
5/13/21,Green's,139.1,,Konyhai alap,Háztartás,Kiadás,5,Thu,-139.1
5/13/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Thu,-5.0
5/14/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Fri,-5.0
5/14/21,Cinemas,43.9,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,5,Fri,-43.9
5/14/21,Fashionistas,101.8,,Ruházat,Egyéb / Diszkrét,Kiadás,5,Fri,-101.8
5/14/21,Burger,55.9,,Gyorsétel / Étterem,Élelmiszer,Kiadás,5,Fri,-55.9
5/15/21,Uba,32.0,,Taxi,Közlekedés,Kiadás,5,Sat,-32.0
5/16/21,Onlne earning,,1000.0,Egyéb Bevétel,Jövedelem,Bevétel,5,Sun,1000.0
5/16/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Sun,-5.0
5/17/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Mon,-5.0
5/17/21,Taken medication,75.0,,Orvosi szolgáltatás,Egészség,Kiadás,5,Mon,-75.0
5/17/21,Phone,40.0,,Szolgáltatások / Rezsi,Háztartás,Kiadás,5,Mon,-40.0
5/18/21,Sallah give away,49.0,,Ajándékok,Egyéb / Diszkrét,Kiadás,5,Tue,-49.0
5/18/21,Online streaming,35.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,5,Tue,-35.0
5/18/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Tue,-5.0
5/19/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Wed,-5.0
5/20/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Thu,-5.0
5/20/21,Green's,174.0,,Konyhai alap,Háztartás,Kiadás,5,Thu,-174.0
5/21/21,Suya,41.1,,Gyorsétel / Étterem,Élelmiszer,Kiadás,5,Fri,-41.1
5/22/21,Oha soup/White soup,16.2,,Gyorsétel / Étterem,Élelmiszer,Kiadás,5,Sat,-16.2
5/23/21,Orphanage,55.0,,Adomány,Egyéb / Diszkrét,Kiadás,5,Sun,-55.0
5/23/21,Fuel,67.0,,Üzemanyag,Közlekedés,Kiadás,5,Sun,-67.0
5/23/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Sun,-5.0
5/24/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Mon,-5.0
5/25/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Tue,-5.0
5/26/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Wed,-5.0
5/27/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Thu,-5.0
5/27/21,Green's,165.8,,Konyhai alap,Háztartás,Kiadás,5,Thu,-165.8
5/28/21,Trainers,128.8,,Ruházat,Egyéb / Diszkrét,Kiadás,5,Fri,-128.8
5/28/21,Home décor,235.0,,Bútor / Lakásfenntartás,Egyéb / Diszkrét,Kiadás,5,Fri,-235.0
5/29/21,Fashionistas,149.2,,Ruházat,Egyéb / Diszkrét,Kiadás,5,Sat,-149.2
5/29/21,Uba,27.2,,Taxi,Közlekedés,Kiadás,5,Sat,-27.2
5/31/21,Foodary,15.0,,Gyorsétel / Étterem,Élelmiszer,Kiadás,5,Mon,-15.0
5/30/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Sun,-5.0
5/31/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,5,Mon,-5.0
6/1/21,Data With Decision,,5000.0,Fizetés,Jövedelem,Bevétel,6,Tue,5000.0
6/3/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Thu,-5.0
6/3/21,Estate Mangement,900.0,,Lakásfenntartás,Háztartás,Kiadás,6,Thu,-900.0
6/3/21,Financail upgrade,150.0,,Egyéb Közlekedés,Közlekedés,Kiadás,6,Thu,-150.0
6/3/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Thu,-5.0
6/4/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Fri,-5.0
6/5/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Sat,-5.0
6/6/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Sun,-5.0
6/6/21,Green's,119.0,,Konyhai alap,Háztartás,Kiadás,6,Sun,-119.0
6/9/21,Power source,55.0,,Rezsi,Háztartás,Kiadás,6,Wed,-55.0
6/9/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Wed,-5.0
6/10/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Thu,-5.0
6/11/21,Fuel,82.1,,Üzemanyag,Közlekedés,Kiadás,6,Fri,-82.1
6/11/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Fri,-5.0
6/12/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Sat,-5.0
6/13/21,Green's,140.2,,Konyhai alap,Háztartás,Kiadás,6,Sun,-140.2
6/13/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Sun,-5.0
6/14/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Mon,-5.0
6/14/21,Cinemas,44.9,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,6,Mon,-44.9
6/14/21,Fashionistas,102.9,,Ruházat,Egyéb / Diszkrét,Kiadás,6,Mon,-102.9
6/14/21,Burger,56.9,,Gyorsétel / Étterem,Élelmiszer,Kiadás,6,Mon,-56.9
6/15/21,Uba,33.1,,Taxi,Közlekedés,Kiadás,6,Tue,-33.1
6/16/21,Onlne earning,,100.0,Egyéb Bevétel,Jövedelem,Bevétel,6,Wed,100.0
6/16/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Wed,-5.0
6/17/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Thu,-5.0
6/17/21,Phone,40.0,,Szolgáltatások / Rezsi,Háztartás,Kiadás,6,Thu,-40.0
6/18/21,Sallah give away,50.1,,Ajándékok,Egyéb / Diszkrét,Kiadás,6,Fri,-50.1
6/18/21,Online streaming,35.0,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,6,Fri,-35.0
6/18/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Fri,-5.0
6/19/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Sat,-5.0
6/20/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Sun,-5.0
6/20/21,Green's,234.0,,Konyhai alap,Háztartás,Kiadás,6,Sun,-234.0
6/21/21,Suya,42.1,,Gyorsétel / Étterem,Élelmiszer,Kiadás,6,Mon,-42.1
6/22/21,Oha soup/White soup,17.1,,Gyorsétel / Étterem,Élelmiszer,Kiadás,6,Tue,-17.1
6/23/21,Orphanage,55.0,,Adomány,Egyéb / Diszkrét,Kiadás,6,Wed,-55.0
6/23/21,Fuel,67.9,,Üzemanyag,Közlekedés,Kiadás,6,Wed,-67.9
6/23/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Wed,-5.0
6/24/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Thu,-5.0
6/25/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Fri,-5.0
6/26/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Sat,-5.0
6/27/21,Drink,5.0,,Kávé,Élelmiszer,Kiadás,6,Sun,-5.0
6/27/21,Green's,166.9,,Konyhai alap,Háztartás,Kiadás,6,Sun,-166.9
6/28/21,Trainers,129.9,,Ruházat,Egyéb / Diszkrét,Kiadás,6,Mon,-129.9
6/28/21,Hangingout/Ticket,180.3,,Mozi / Előadás,Egyéb / Diszkrét,Kiadás,6,Mon,-180.3
